randomization_prob,car_density,Run,average_speed
0.2,0.30000000000000004,209,2.012541254125413
0.2,0.30000000000000004,210,2.0379537953795377
0.2,0.30000000000000004,211,2.057755775577558
0.2,0.30000000000000004,212,2.0273927392739273
0.2,0.30000000000000004,213,1.9613861386138616
0.2,0.30000000000000004,214,2.1679867986798675
0.2,0.30000000000000004,215,1.9848184818481849
0.2,0.30000000000000004,216,2.05940594059406
0.2,0.30000000000000004,217,2.1184818481848184
0.2,0.30000000000000004,218,2.0003300330033
0.2,0.30000000000000004,219,2.022772277227723
0.2,0.30000000000000004,220,2.052145214521452
0.2,0.30000000000000004,221,1.9333333333333331
0.2,0.30000000000000004,222,2.034653465346535
0.2,0.30000000000000004,223,1.9811881188118812
0.2,0.30000000000000004,224,1.9524752475247524
0.2,0.30000000000000004,225,2.01980198019802
0.2,0.30000000000000004,226,2.0653465346534654
0.2,0.30000000000000004,227,2.003300330033003
0.2,0.30000000000000004,228,1.9973597359735977
0.2,0.30000000000000004,229,2.133003300330033
0.2,0.30000000000000004,230,2.0712871287128714
0.2,0.30000000000000004,231,2.054125412541254
0.2,0.30000000000000004,232,2.0521452145214525
0.2,0.30000000000000004,233,2.0841584158415842
0.2,0.30000000000000004,234,1.9815181518151816
0.2,0.30000000000000004,235,2.0465346534653466
0.2,0.30000000000000004,236,2.1161716171617164
0.2,0.30000000000000004,237,1.9399339933993396
0.2,0.30000000000000004,238,2.097029702970297
0.2,0.30000000000000004,239,2.033003300330033
0.2,0.30000000000000004,240,2.1468646864686467
0.2,0.30000000000000004,241,2.038613861386138
0.2,0.30000000000000004,242,2.0501650165016505
0.2,0.30000000000000004,243,2.012871287128713
0.2,0.30000000000000004,244,2.0138613861386134
0.2,0.30000000000000004,245,1.980858085808581
0.2,0.30000000000000004,246,2.055115511551155
0.2,0.30000000000000004,247,1.999339933993399
0.2,0.30000000000000004,248,2.08976897689769
0.2,0.30000000000000004,249,2.1808580858085804
0.2,0.30000000000000004,250,2.0194719471947193
0.2,0.30000000000000004,251,2.052475247524752
0.2,0.30000000000000004,252,2.117821782178218
0.2,0.30000000000000004,253,1.9792079207920792
0.2,0.30000000000000004,254,2.0511551155115506
0.2,0.30000000000000004,255,2.0706270627062704
0.2,0.30000000000000004,256,2.0234323432343233
0.2,0.30000000000000004,257,2.105280528052805
0.2,0.30000000000000004,258,2.0264026402640263
0.2,0.30000000000000004,259,2.119471947194719
0.2,0.30000000000000004,260,2.076237623762376
0.2,0.30000000000000004,261,1.9983498349834978
0.2,0.30000000000000004,262,2.004620462046205
0.2,0.30000000000000004,263,1.989108910891089
0.2,0.30000000000000004,264,2.0617161716171624
0.2,0.30000000000000004,265,2.0214521452145218
